Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C2, C32, C4, C5",C_0402,7,1uF,C52923
"C10, C16, C19, C22, C25, C28, C31, C33, C34",C_0402,9,10uF,C15525
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C17, C20, C23, C26, C29, C3, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",C_0402,91,100nF,C1525
C11,C_0402,1,3.3nF,C26404
"C13, C14, C18, C21, C24, C27, C30",C_0402,7,4.7uF,C23733
"C35, C36",C_1206,2,100uF,C15008
C6,C_0402,1,22uF,C105226
D1,D_SOD-123FL,1,SM4007PL,C78741
D2,DIO_TPD1E05U06DPYR,1,TPD1E10B06DPYR,C48260
J1,USB-C-SMD_SHOUHAN_TYPE-C-16PFS-2JCB1.2-H6.5,1,TYPE-C 16PFS 2JCB1.2-H6.5 IPX8,C3020046
L1,IND-SMD_L2.5-W2.0_MHCHL2520,1,2.2uH,C5832372
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED9",XL-6028RGBW-WS2812B,82,XL-6028RGBW-WS2812B,C42163197
PC1,HC-1.25-4PWT,1,HC-1.25-4PWT,C2845381
PC2,HC-1.25-2PWT,1,HC-1.25-2PWT,C2845379
"R1, R11, R14, R2, R23, R3, R4",R_0402,7,10kΩ,C25744
"R10, R8, R9",R_0402,3,100kΩ,C25741
"R12, R13",R_0402,2,1.5kΩ,C25867
R15,R_0402,1,1.10kΩ,C25860
R16,R_0402,1,47kΩ,C25792
R17,R_0402,1,3kΩ,C25784
R18,R_0402,1,750Ω,C25132
"R19, R20",R_0402,2,22Ω,C25092
"R21, R22",R_0402,2,5.1kΩ,C25941
"R5, R6",R_0402,2,100Ω,C25076
R7,R_0402,1,499Ω,C4125
S1,TS24CA,1,TS24CA,C393942
S2,SW_TS-1088-AR02016,1,"TS-1088-AR02016, 160gf",C720477
S3,SW-SMD_SSSS811101,1,SSSS811101,C109335
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW8, SW9",KD-SINGLE-KEY,78,SC4823S6-TR,C52021064
"T1, T2, T3, T4, T5",XL4067TS,5,XL4067TS,C41427445
U1,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1-N8,
U2,QFN50P300X300X80-17N,1,TLA2518IRTER,C1855741
U3,QFN50P300X300X80-17N,1,TPS62142RGTR,C129331
U4,QFN50P300X300X80-17N,1,BQ24074RGTR,C54313
U5,IC_TPD4E05U06DQAR,1,TPD4E05U06DQAR,C138714
U6,BGA4N50P2X2_88X88X50N,1,TPS22910AYZVR,C205966
