Designator,Mid X,Mid Y,Rotation,Layer
C1,32.25,-104.75,0.0,bottom
C10,46.75,-104.25,270.0,bottom
C100,200.8,-158.95,180.0,bottom
C101,219.85,-158.95,180.0,bottom
C102,238.9,-158.95,180.0,bottom
C103,257.95,-158.95,180.0,bottom
C104,277.0,-158.95,180.0,bottom
C105,296.05,-158.95,180.0,bottom
C106,324.625,-158.95,180.0,bottom
C107,353.2,-158.95,180.0,bottom
C108,88.88125,-178.0,180.0,bottom
C109,112.69375,-178.0,180.0,bottom
C11,39.999,-103.056266,90.0,bottom
C110,136.50625,-178.0,180.0,bottom
C111,207.94375,-178.0,180.0,bottom
C112,277.0,-178.0,180.0,bottom
C113,296.05,-178.0,180.0,bottom
C114,315.1,-178.0,180.0,bottom
C115,334.15,-178.0,180.0,bottom
C116,353.2,-178.0,180.0,bottom
C117,372.25,-178.0,180.0,bottom
C118,371.75,-104.5,0.0,bottom
C12,40.5,-98.25,270.0,bottom
C13,44.75,-98.75,180.0,bottom
C14,39.75,-91.5,0.0,bottom
C15,57.5,-103.25,90.0,bottom
C16,52.5,-104.25,270.0,bottom
C17,359.75,-130.5,90.0,bottom
C18,360.75,-130.5,90.0,bottom
C19,361.75,-130.5,90.0,bottom
C2,51.0,-94.75,90.0,bottom
C20,275.8,-130.5,90.0,bottom
C21,276.8,-130.5,90.0,bottom
C22,277.8,-130.5,90.0,bottom
C23,218.65,-130.5,90.0,bottom
C24,219.65,-130.5,90.0,bottom
C25,220.65,-130.5,90.0,bottom
C26,161.5,-130.5,90.0,bottom
C27,162.5,-130.5,90.0,bottom
C28,163.5,-130.5,90.0,bottom
C29,104.351,-130.5,90.0,bottom
C3,57.0,-99.5,180.0,bottom
C30,103.351,-130.5,90.0,bottom
C31,102.351,-130.5,90.0,bottom
C32,58.5,-103.25,90.0,bottom
C33,59.5,-103.25,90.0,bottom
C34,60.5,-103.25,90.0,bottom
C35,64.5,-103.75,180.0,bottom
C36,64.5,-106.25,180.0,bottom
C37,61.25,-113.75,180.0,bottom
C38,47.5,-88.0,180.0,bottom
C39,59.5,-88.0,180.0,bottom
C4,54.0,-99.0,270.0,bottom
C40,86.5,-77.75,180.0,bottom
C41,115.075,-77.75,180.0,bottom
C42,134.125,-77.75,180.0,bottom
C43,153.175,-77.75,180.0,bottom
C44,172.225,-77.75,180.0,bottom
C45,200.8,-77.75,180.0,bottom
C46,219.85,-77.75,180.0,bottom
C47,238.9,-77.75,180.0,bottom
C48,257.95,-77.75,180.0,bottom
C49,286.525,-77.75,180.0,bottom
C5,52.75,-99.0,270.0,bottom
C50,305.575,-77.75,180.0,bottom
C51,324.625,-77.75,180.0,bottom
C52,343.675,-77.75,180.0,bottom
C53,372.25,-77.75,180.0,bottom
C54,86.5,-101.8,180.0,bottom
C55,105.55,-101.8,180.0,bottom
C56,124.6,-101.8,180.0,bottom
C57,143.65,-101.8,180.0,bottom
C58,162.7,-101.8,180.0,bottom
C59,181.75,-101.8,180.0,bottom
C6,45.75,-106.25,90.0,bottom
C60,200.8,-101.8,180.0,bottom
C61,219.85,-101.8,180.0,bottom
C62,238.9,-101.8,180.0,bottom
C63,257.95,-101.8,180.0,bottom
C64,277.0,-101.8,180.0,bottom
C65,296.05,-101.8,180.0,bottom
C66,315.1,-101.8,180.0,bottom
C67,343.675,-101.8,180.0,bottom
C68,91.2625,-120.85,180.0,bottom
C69,115.075,-120.85,180.0,bottom
C7,36.751727,-178.790583,0.0,bottom
C70,134.125,-120.85,180.0,bottom
C71,153.175,-120.85,180.0,bottom
C72,172.225,-120.85,180.0,bottom
C73,191.275,-120.85,180.0,bottom
C74,210.325,-120.85,180.0,bottom
C75,229.375,-120.85,180.0,bottom
C76,248.425,-120.85,180.0,bottom
C77,267.475,-120.85,180.0,bottom
C78,286.525,-120.85,180.0,bottom
C79,305.575,-120.85,180.0,bottom
C8,36.751727,-179.790583,0.0,bottom
C80,324.625,-120.85,180.0,bottom
C81,348.4375,-120.85,180.0,bottom
C82,87.75,-140.0,0.0,bottom
C83,119.8375,-139.9,180.0,bottom
C84,138.8875,-139.9,180.0,bottom
C85,152.0,-140.0,0.0,bottom
C86,176.9875,-139.9,180.0,bottom
C87,196.0375,-139.9,180.0,bottom
C88,209.25,-140.0,0.0,bottom
C89,234.1375,-139.9,180.0,bottom
C9,36.751727,-180.790583,0.0,bottom
C90,253.1875,-139.9,180.0,bottom
C91,266.25,-140.0,0.0,bottom
C92,291.2875,-139.9,180.0,bottom
C93,310.3375,-139.9,180.0,bottom
C94,341.29375,-139.9,180.0,bottom
C95,96.025,-158.95,180.0,bottom
C96,124.6,-158.95,180.0,bottom
C97,143.65,-158.95,180.0,bottom
C98,162.7,-158.95,180.0,bottom
C99,181.75,-158.95,180.0,bottom
D1,36.0,-90.25,90.0,bottom
D2,52.25,-81.0,270.0,bottom
J1,49.0,-75.5,180.0,bottom
L1,44.35,-108.75,180.0,bottom
LED1,58.25,-111.75,0.0,bottom
LED10,216.875,-75.6375,0.0,bottom
LED11,235.925,-75.6375,0.0,bottom
LED12,254.975,-75.6375,0.0,bottom
LED13,283.55,-75.6375,0.0,bottom
LED14,302.6,-75.6375,0.0,bottom
LED15,321.65,-75.6375,0.0,bottom
LED16,340.7,-75.6375,0.0,bottom
LED17,369.275,-75.6375,0.0,bottom
LED18,83.525,-99.6875,0.0,bottom
LED19,102.575,-99.6875,0.0,bottom
LED2,43.0,-87.1,0.0,bottom
LED20,121.625,-99.6875,0.0,bottom
LED21,140.675,-99.6875,0.0,bottom
LED22,159.725,-99.6875,0.0,bottom
LED23,178.775,-99.6875,0.0,bottom
LED24,197.825,-99.6875,0.0,bottom
LED25,216.875,-99.6875,0.0,bottom
LED26,235.925,-99.6875,0.0,bottom
LED27,254.975,-99.6875,0.0,bottom
LED28,274.025,-99.6875,0.0,bottom
LED29,293.075,-99.6875,0.0,bottom
LED3,55.0,-87.1,0.0,bottom
LED30,312.125,-99.6875,0.0,bottom
LED31,340.7,-99.6875,0.0,bottom
LED32,88.2875,-118.7375,0.0,bottom
LED33,112.1,-118.7375,0.0,bottom
LED34,131.15,-118.7375,0.0,bottom
LED35,150.2,-118.7375,0.0,bottom
LED36,169.25,-118.7375,0.0,bottom
LED37,188.3,-118.7375,0.0,bottom
LED38,207.35,-118.7375,0.0,bottom
LED39,226.4,-118.7375,0.0,bottom
LED4,83.525,-75.6375,0.0,bottom
LED40,245.45,-118.7375,0.0,bottom
