Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
74AC11000	4-ch, 2-input, 3-V to 5.5-V NAND gates	ACTIVE	SDFM030	74AC11000 Behavioral SPICE Model
74AC11004	6-ch, 3-V to 5.5-V inverters	ACTIVE	SCAM066	74AC11004 Behavioral SPICE Model
74AC11008	4-ch, 2-input, 3-V to 5.5-V AND gates	ACTIVE	SCAM068	74AC11008 Behavioral SPICE Model
74AC11032	4-ch, 2-input, 3-V to 5.5-V OR gates	ACTIVE	SCAM067	74AC11032 Behavioral SPICE Model
74AC11086	4-ch, 2-input, 3-V to 5.5-V XOR (exclusive OR) gates	ACTIVE	SCAM069	74AC11086 Behavioral SPICE Model
74AC11240	8-ch, 3-V to 5.5-V inverters with 3-state outputs	ACTIVE	SCAM070	74AC11240 Behavioral SPICE Model
74AC11244	8-ch, 3-V to 5.5-V buffers with 3-state outputs	ACTIVE	SCAM071	74AC11244 Behavioral SPICE Model
74AC16244	16-ch, 3-V to 5.5-V buffers with 3-state outputs	ACTIVE	SCAM142	74AC16244 Behavioral SPICE Model
74ACT11000	4-ch, 2-input, 4.5-V to 5.5-V NAND gates with TTL-compatible CMOS inputs	ACTIVE	SCAM072	74ACT11000 Behavioral SPICE Model
74ACT11004	6-ch, 4.5-V to 5.5-V inverters with TTL-compatible CMOS inputs	ACTIVE	SCAM074	74ACT11004 Behavioral SPICE Model
74ACT11008	4-ch, 2-input, 4.5-V to 5.5-V AND gates with TTL-compatible CMOS inputs	ACTIVE	SCAM073	74ACT11008 Behavioral SPICE Model
74ACT11030	Single 8-input, 4.5-V to 5.5-V NAND gate with TTL-compatible CMOS inputs	ACTIVE	SCAM075	74ACT11030 Behavioral SPICE Model
74ACT11032	4-ch, 2-input, 4.5-V to 5.5-V OR gates with TTL-compatible CMOS inputs	ACTIVE	SCAM076	74ACT11032 Behavioral SPICE Model
74ACT11240	8-ch, 4.5-V to 5.5-V inverters with TTL-compatible CMOS inputs and 3-state outputs	ACTIVE	SCAM077	74ACT11240 Behavioral SPICE Model
74ACT11244	8-ch, 4.5-V to 5.5-V buffers with TTL-compatible CMOS inputs and 3-state outputs	ACTIVE	SCAM078	74ACT11244 Behavioral SPICE Model
74ACT16240	16-ch, 4.5-V to 5.5-V inverters with TTL-compatible CMOS inputs and 3-state outputs	ACTIVE	SCAM079	74ACT16240 Behavioral SPICE Model
74ACT16244	16-ch, 4.5-V to 5.5-V buffers with TTL-compatible CMOS inputs and 3-state outputs	ACTIVE	SCAM080	74ACT16244 Behavioral SPICE Model
74ACT16541	16-ch, 4.5-V to 5.5-V buffers with TTL-compatible CMOS inputs and 3-state outputs	ACTIVE	SCAM081	74ACT16541 Behavioral SPICE Model
74ACT16827	20-ch, 4.5-V to 5.5-V buffers with TTL-compatible CMOS inputs and 3-state outputs	ACTIVE	SCAM083	74ACT16827 Behavioral SPICE Model
ACF2101	Low Noise, Dual Switched Integrator	ACTIVE	SBFM001A	ACF2101 PSpice Model (Rev. A)
ADC3421	Quad-channel 12-bit 25-MSPS analog-to-digital converter (ADC)	ACTIVE	SLAM228	ADC3xxx Pspice Model
ADC3421-Q1	Automotive quad-channel 12-bit 25-MSPS analog-to-digital converter (ADC)	ACTIVE	SLAM228	ADC3xxx Pspice Model
ADC3422	Quad-Channel, 12-Bit, 50-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM228	ADC3xxx Pspice Model
