Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
ADC161S626	16-Bit, 250-kSPS, 1-Ch SAR ADC with fully differential input	ACTIVE	SNAM109	ADC161S626 TINA-TI Transient Spice Model
ADC3421	Quad-channel 12-bit 25-MSPS analog-to-digital converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3421-Q1	Automotive quad-channel 12-bit 25-MSPS analog-to-digital converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3422	Quad-Channel, 12-Bit, 50-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3423	Quad-Channel, 12-Bit, 80-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3424	Quad-Channel, 12-Bit, 125-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3441	Quad-Channel, 14-Bit, 25-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3442	Quad-Channel, 14-Bit, 50-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3443	Quad-Channel, 14-Bit, 80-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC3444	Quad-Channel, 14-Bit, 125-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM226	ADC3xxx TINA Model
ADC34J45	Quad-Channel, 14-Bit, 160-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SLAM229	ADC3xJxx TINA Model
ADS6128	12-Bit, 210-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM013	ADS6128-9, ADS6148-9 TINA-TI Transient Spice Model
ADS6129	12-Bit, 250-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM013	ADS6128-9, ADS6148-9 TINA-TI Transient Spice Model
ADS6148	14-Bit, 210-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM013	ADS6128-9, ADS6148-9 TINA-TI Transient Spice Model
ADS6149	14-Bit, 250-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM013	ADS6128-9, ADS6148-9 TINA-TI Transient Spice Model
ADS62C15	Dual-Channel, 11-Bit, 125-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62C17	Dual-Channel, 11-Bit, 200-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM015	ADS62C17 TINA-TI Transient Spice Model
ADS62P15	Dual-Channel, 11-Bit, 125-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P22	Dual-Channel, 12-Bit, 65-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P23	Dual-Channel, 12-Bit, 80-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P24	Dual-Channel, 12-Bit, 105-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P25	Dual-Channel, 12-Bit, 125-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P28	Dual-Channel, 12-Bit, 210-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM005	ADS62P28-9, ADS62P48-9 TINA-TI Transient Spice Model
ADS62P29	Dual-Channel, 12-Bit, 250-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM005	ADS62P28-9, ADS62P48-9 TINA-TI Transient Spice Model
ADS62P42	Dual-Channel, 14-Bit, 65-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P43	Dual-Channel, 14-Bit, 80-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P44	Dual-Channel, 14-Bit, 105-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P45	Dual-Channel, 14-Bit, 125-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM007	ADS62Pxx Family TINA-TI Transient Spice Model
ADS62P48	Dual-Channel, 14-Bit, 210-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM005	ADS62P28-9, ADS62P48-9 TINA-TI Transient Spice Model
ADS62P49	Dual-Channel, 14-Bit, 250-MSPS Analog-to-Digital Converter (ADC)	ACTIVE	SBAM005	ADS62P28-9, ADS62P48-9 TINA-TI Transient Spice Model
ADS7028	Small 8-channel 12-bit analog-to-digital converter (ADC) with SPI, GPIOs and CRC	ACTIVE	SBAM431	TLA2528 TINA-TI Spice Model
